"region","Year","decile","rent_own_ratio"
360,1985,0,1.55407158798928
360,1985,1,0.124054051677464
360,1985,2,0.159235911339225
360,1985,3,0.271601995817061
360,1985,4,0.196649060244555
360,1985,5,0.192551410088063
360,1985,6,0.0971194392887377
360,1985,7,0
360,1985,8,0.216515580749078
360,1985,9,0
360,1987,0,0.66437836936117
360,1987,1,0.165752931466547
360,1987,2,0.223980644372657
360,1987,3,0.313851478652458
360,1987,4,0.320033118039098
360,1987,5,0
360,1987,6,0.186564903878313
360,1987,7,0.244885039904907
360,1987,8,0.172707504132605
360,1987,9,0
360,1989,0,0.875273191738049
360,1989,1,0.104605878540838
360,1989,2,0.423449369769506
360,1989,3,0.426631335489616
360,1989,4,0.137141519395001
360,1989,5,0.0619888240730768
360,1989,6,0.16132814829046
360,1989,7,0.182549428279171
360,1989,8,0.0605529795003154
360,1989,9,0.0629404923434774
360,1991,0,1.53681834223556
360,1991,1,0.254513577108739
360,1991,2,0.0623989858176088
360,1991,3,0.50312463479193
360,1991,4,0.465485394154754
360,1991,5,0.101461510175946
360,1991,6,0.0967263933685255
360,1991,7,0.167882387898705
360,1991,8,0.434943958009614
360,1991,9,0.0459664398361675
360,1993,0,0.919768160861086
360,1993,1,0.2115071025535
360,1993,2,0.250837858915727
360,1993,3,0.275542167785497
360,1993,4,0.323373882278976
360,1993,5,0.0959789451119407
360,1993,6,0.13071208429017
360,1993,7,0.147262677652378
360,1993,8,0.159338988223795
360,1993,9,0.0402921071983229
360,1995,0,0.698305297142078
360,1995,1,0.456230061895196
360,1995,2,0.540085080078143
360,1995,3,0.829354117104002
360,1995,4,0.233070713087946
360,1995,5,0.201453104665756
360,1995,6,0.0432459248645776
360,1995,7,0.0435707456038529
360,1995,8,0.195440057136453
360,1995,9,0.0920462190905616
360,1997,0,0.491846681146547
360,1997,1,0.250789569206116
360,1997,2,0.215246930520591
360,1997,3,0.518479222253178
360,1997,4,0.117841346011737
360,1997,5,0.168105162245203
360,1997,6,0.058320698966648
360,1997,7,0.123409289716881
360,1997,8,0.296574327507386
360,1997,9,0.0575855220386247
360,1999,0,0.797610211836524
360,1999,1,0.888202181327909
360,1999,2,0.236574178771146
360,1999,3,0.272581294264699
360,1999,4,0.126774701834389
360,1999,5,0
360,1999,6,0.102811600459536
360,1999,7,0.258425144110146
360,1999,8,0.0527612894917074
360,1999,9,0.148735432873255
360,2001,0,0.933856398450939
360,2001,1,0.570625618095835
360,2001,2,0.642690875459968
360,2001,3,0.125244149136187
360,2001,4,0.148371823381921
360,2001,5,0.0376713276420759
360,2001,6,0.197524072569376
360,2001,7,0.147810716446545
360,2001,8,0.0905908708651475
360,2001,9,0.0448041929426455
360,2003,0,0.915212039084648
360,2003,1,0.680532944188922
360,2003,2,0.149298947593867
360,2003,3,0.155881666357164
360,2003,4,0.0435622038981007
360,2003,5,0.236125181505655
360,2003,6,0.0520036223295521
360,2003,7,0.102234307352837
360,2003,8,0.156831065614252
360,2003,9,0.0530910009390666
360,2005,0,2.00896059135744
360,2005,1,0.15988510989849
360,2005,2,0.239939948544307
360,2005,3,0.0359114792562528
360,2005,4,0.0592398339440899
360,2005,5,0.176524797475166
360,2005,6,0.0986056845504351
360,2005,7,0.235626471010918
360,2005,8,0
360,2005,9,0.0454703641097423
360,2007,0,1.96583492745533
360,2007,1,0.377446988190877
360,2007,2,0.141566926467774
360,2007,3,0.272075316227702
360,2007,4,0.112980817203243
360,2007,5,0.046621629684445
360,2007,6,0.107286004761129
360,2007,7,0
360,2007,8,0.0484903680866347
360,2007,9,0
360,2009,0,0.601901604726769
360,2009,1,0.316125576286236
360,2009,2,0.161718102710768
360,2009,3,0.167073621262657
360,2009,4,0.106343587494634
